Numero_RCS,Publication,Date,Company_Name,Address,Tags,Employee_List
B230522,RESA_2019_002.10,02-01-2019,Addpaid Luxembourg Holdings S. à r. ].," 3A, Boulevard Prince Henri, L-l724 Luxembourg  Grand-Duché du Luxembourg ",,"'J ean-Philippe CLAVEL', 'Alexis ANDRE', 'Jamal AFAKIR', 'Renaud SASSI', 'Olivier RAVEAU', 'Etienne GILLET', 'Benoit LOCKMAN', 'Daria SUROVA', 'Daria SUROVA 48.000 480'"
8230528,RESA_2019_002.123,02-01-2019,Wellsburg Properties S.à r.l.,,,"'J an Arie DEKKER', 'Charles DURO', 'Karine MASTINU'"
8230529,RESA_2019_002.223,02-01-2019,Tasty Midco S.à r.l.," 2, rue Edward Steichen, L-2540 Luxembourg ","'Holding', 'Foreign', 'Investment', 'Acquisition', 'Purchase', 'Subscription', 'Exchange', 'Administration', 'Management', 'Development'",
8230530,RESA_2019_002.232,02-01-2019,RO.General Construct S.à r.].,"20, Rue de Bonnevoie L-1260 Luxembourg ","'Commercial', 'Development'","'Dumitrescu Iulian- Fanel', 'George Manica', 'Niculai Solomon- Catalin', 'Dumitrescu Iulian', 'Manica George', 'Niculai Solomon-Catalin'"
F12095,RESA_2019_002.24,02-01-2019,Beweegung an der Lëtzebuerger Grondschoul ASBL," 17 rue Flener, L-8228 Mamer  Artikel 1. Name ",,
E6788,RESA_2019_002.250,02-01-2019,Beauséjour 1950," L-4972 Dippach  52, route de Luxembourg ",,"'Willy PEETERS', 'Lutgardis BAUWENS'"
8230531,RESA_2019_002.278,02-01-2019,RIHORVAT S.à r.l.,,,
8230532,RESA_2019_002.281,02-01-2019,Pariser Platz Propco S.C.S.,"2-4, rue Eugène Ruppert, L-2453 Luxembourg R.C.S. Luxembourg : en cours d'immatriculation  EXTRAIT  || résulte d'un","'Administration', 'Development', 'Management'",
8230533,RESA_2019_002.298,02-01-2019,TAN Lux S.à r.l.,,"'Administration', 'Management'",'Henri DA CRUZ'
8230534,RESA_2019_002.308,02-01-2019,HERITAGE ASSETS SCSp,,"'Management', 'Development'",
8230535,RESA_2019_002.338,02-01-2019,Gulf lnterchem SA.,"L-1930 Luxembourg, 62, Avenue de la Liberté","'Administration', 'Management', 'Development'","'Bernard Van den Wouwer', 'Alexandre Vandekerckhove', 'Bernard Van den Wouwer 21 .600', 'Alexandre Vandekerckhove 14.400', 'Benoît Parmentier', 'Caroline RAMIER'"
F12097,RESA_2019_002.367,02-01-2019,"Luxembourg Lacrosse Federation a.s.b.l.,"," 3, route d’Arlon, L-8009 Strassen.  Entre les membres honoraires soussignés : ",,
8230536,RESA_2019_002.368,02-01-2019,Credit Suisse Private Equity Partner II S.à r.l.," 5, rue Jean Monnet, L-2180 Luxembourg ",'Debt','Françoise Kindt'
8230537,RESA_2019_002.384,02-01-2019,“NII Brazil Holdings S.à r.l.”," 6, rue Eugene Ruppert L-2453 Luxembourg (Grand-Duché de Luxembourg) ","'Administration', 'Management'","'Christian DOSTERT', 'Ryan MACKAY', 'David CATALA', 'Daniel Eric FREIMAN', 'Shana C. SMITH'"
8230523,RESA_2019_002.41,02-01-2019,CE Invest 2P S.à r.l.,"1, Rue Schiller, L-2519 Luxembourg ",,"'Jeremi Marek BOBOWSKI', 'Alessandro Ugo Livio PAPPALARDO OGLIATI', 'Nils Fredrik Anders OLSSON', 'Cassandra CASPAR-ARNOULD', 'Kristine VANAGA'"
8230538,RESA_2019_002.431,02-01-2019,LH Group S.à r.l.,"L-2446 Howald, 25, Ceinture des Rosiers ",,'Lucie HOFFMANN'
8230539,RESA_2019_002.434,02-01-2019,Digital Barriers S.A R.L., 15 Rue Edward Steichen L- 2540 Luxembourg ,'Acquisition',"'Brendan D. KLAPP', 'John David SHARPE'"
B230540,RESA_2019_002.474,02-01-2019,TEMPERANCE SARL,,'Purchase',"'Pierre GODARD', 'Guillaume GODARD', 'Dominique GODARD-POYER'"
8230541,RESA_2019_002.489,02-01-2019,"FIREFLIES, S.à r. l.-S; Société à responsabilité limitée simpliﬁée",,"'Development', 'Commercial'","'Jacopo Consalvo Raimondo ARMANI', 'J acopo Consalvo Raimondo ARMANI'"
8230542,RESA_2019_002.491,02-01-2019,GSA Spain Core SCSp,,'Investment',
B230543,RESA_2019_002.492,02-01-2019,CSL Fund (PB) Holdings C Lux Sàrl," 10-12, Boulevard Roosevelt L-2450 Luxembourg  ","'Management', 'Subscription', 'Purchase', 'Exchange', 'Debt'","'Marcus COLWELL', 'Emmanuel BRESSON', 'Francois DALOZE', 'Guillaume SADLER', 'Armando José Brochado Soares CORREIA', 'Corinne PETIT', 'Faith ROSENFELD'"
F12096,RESA_2019_002.50,02-01-2019,"Palmyra Relief Luxembourg a. s. b. l.,",,,"'Michelle FELLER', 'Danielle J UNG', 'Martine KOHN', 'Chantal MILBERT', 'Delia PIGAT'"
B230544,RESA_2019_002.507,02-01-2019,NP Taiwan Project A Holdings S.à r.l.,"298, Val des Bons Malades, L-2121 Luxembourg Grand-Duché de Luxembourg ","'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance', 'Development'","'Sébastien PAUCHOT', 'Gregory KEANEY', 'Christophe SCHOCKMEL'"
8230545,RESA_2019_002.511,02-01-2019,“Lux Land-Berlin S.à r.l.”," 84, boulevard Napoléon Ier L-2210 Luxembourg (Grand-Duché de Luxembourg) ","'Holding', 'Foreign', 'Acquisition', 'Purchase', 'Subscription', 'Exchange', 'Debentures', 'Administration', 'Development', 'Management'","'Christian DOSTERT', 'Gregory KATZ', 'Moris TABACINIC', 'Jose BONAFON TE MAGRI'"
8230546,RESA_2019_002.579,02-01-2019,NOWA S.à r.l.,,,
